,PktGroupId,PktNumber,Appearance,Direction,Type,Component,Edge,Filter,OriginalSize,LoggedSize
144,562949953421318,1,5,Tx,WiFi,29,2,0,72,72
145,562949953421318,1,6,Tx,WiFi,30,1,0,72,72
146,562949953421318,1,7,Tx,WiFi,30,2,0,72,72
147,562949953421318,1,8,Tx,WiFi,31,1,0,72,72
148,562949953421318,1,9,Tx,WiFi,31,2,0,72,72
149,562949953421318,1,10,Tx,WiFi,3,1,0,72,72
150,562949953421319,1,1,Rx,WiFi,3,1,0,74,74
151,562949953421319,1,2,Rx,WiFi,31,2,0,74,74
152,562949953421319,1,3,Rx,WiFi,31,1,0,74,74
153,562949953421319,1,4,Rx,WiFi,30,2,0,74,74
154,562949953421319,1,5,Rx,WiFi,30,1,0,74,74
155,562949953421319,1,6,Rx,WiFi,29,2,0,74,74
156,562949953421319,1,7,Rx,Ethernet,29,1,0,54,54
157,562949953421319,1,8,Rx,WiFi,28,2,0,54,54
158,562949953421319,1,9,Rx,Ethernet,28,1,0,54,54
159,562949953421319,1,10,Rx,Ethernet,77,1,0,54,54
160,562949953421319,1,11,Rx,Ethernet,78,1,0,54,54
161,562949953421319,1,12,Rx,Ethernet,81,1,0,54,54
162,562949953421320,1,1,Tx,Ethernet,81,1,0,54,54
163,562949953421320,1,2,Tx,Ethernet,28,1,0,54,54
164,562949953421320,1,3,Tx,WiFi,28,2,0,54,54
165,562949953421320,1,4,Tx,Ethernet,29,1,0,54,54
166,562949953421320,1,5,Tx,WiFi,29,2,0,72,72
167,562949953421320,1,6,Tx,WiFi,30,1,0,72,72
168,562949953421320,1,7,Tx,WiFi,30,2,0,72,72
169,562949953421320,1,8,Tx,WiFi,31,1,0,72,72
170,562949953421320,1,9,Tx,WiFi,31,2,0,72,72
171,562949953421320,1,10,Tx,WiFi,3,1,0,72,72
172,1407374883553287,1,1,Tx,Ethernet,81,1,0,54,54
173,1407374883553287,1,2,Tx,Ethernet,28,1,0,54,54
174,1407374883553287,1,3,Tx,WiFi,28,2,0,54,54
175,1407374883553287,1,4,Tx,Ethernet,29,1,0,54,54
176,1407374883553287,1,5,Tx,WiFi,29,2,0,72,72
177,1407374883553287,1,6,Tx,WiFi,30,1,0,72,72
178,1407374883553287,1,7,Tx,WiFi,30,2,0,72,72
179,1407374883553287,1,8,Tx,WiFi,31,1,0,72,72
180,1407374883553287,1,9,Tx,WiFi,31,2,0,72,72
181,1407374883553287,1,10,Tx,WiFi,3,1,0,72,72
182,1407374883553288,1,1,Rx,WiFi,3,1,0,74,74
183,1407374883553288,1,2,Rx,WiFi,31,2,0,74,74
184,1407374883553288,1,3,Rx,WiFi,31,1,0,74,74
185,1407374883553288,1,4,Rx,WiFi,30,2,0,74,74
186,1407374883553288,1,5,Rx,WiFi,30,1,0,74,74
187,1407374883553288,1,6,Rx,WiFi,29,2,0,74,74
188,1407374883553288,1,7,Rx,Ethernet,29,1,0,54,54
189,1407374883553288,1,8,Rx,WiFi,28,2,0,54,54
190,1407374883553288,1,9,Rx,Ethernet,28,1,0,54,54
191,1407374883553288,1,10,Rx,Ethernet,77,1,0,54,54
192,1407374883553288,1,11,Rx,Ethernet,78,1,0,54,54
193,1407374883553288,1,12,Rx,Ethernet,81,1,0,54,54
194,1407374883553289,1,1,Tx,Ethernet,81,1,0,54,54
195,1407374883553289,1,2,Tx,Ethernet,28,1,0,54,54
196,1407374883553289,1,3,Tx,WiFi,28,2,0,54,54
197,1407374883553289,1,4,Tx,Ethernet,29,1,0,54,54
198,1407374883553289,1,5,Tx,WiFi,29,2,0,72,72
199,1407374883553289,1,6,Tx,WiFi,30,1,0,72,72
200,1407374883553289,1,7,Tx,WiFi,30,2,0,72,72
201,1407374883553289,1,8,Tx,WiFi,31,1,0,72,72
202,1407374883553289,1,9,Tx,WiFi,31,2,0,72,72
203,1407374883553289,1,10,Tx,WiFi,3,1,0,72,72
204,1125899906842625,1,1,Rx,WiFi,3,1,0,86,86
205,1125899906842625,1,2,Rx,WiFi,31,2,0,86,86
206,1125899906842625,1,3,Rx,WiFi,31,1,0,86,86
207,1125899906842625,1,4,Rx,WiFi,30,2,0,86,86
208,1125899906842625,1,5,Rx,WiFi,30,1,0,86,86
209,1125899906842625,1,6,Rx,WiFi,29,2,0,86,86
210,1125899906842625,1,7,Rx,Ethernet,29,1,0,66,66
211,1125899906842625,1,8,Rx,WiFi,28,2,0,66,66
212,1125899906842625,1,9,Rx,Ethernet,28,1,0,66,66
213,1125899906842625,1,10,Rx,Ethernet,77,1,0,66,66
214,1125899906842625,1,11,Rx,Ethernet,78,1,0,66,66
215,1125899906842625,1,12,Rx,Ethernet,81,1,0,66,66
216,1125899906842626,1,1,Tx,Ethernet,81,1,0,128,128
217,1125899906842626,1,2,Tx,Ethernet,28,1,0,128,128
218,1125899906842626,1,3,Tx,WiFi,28,2,0,128,128
219,1125899906842626,1,4,Tx,Ethernet,29,1,0,128,128
220,1125899906842626,1,5,Tx,WiFi,29,2,0,146,128
221,1125899906842626,1,6,Tx,WiFi,30,1,0,146,128
222,1125899906842626,1,7,Tx,WiFi,30,2,0,146,128
223,1125899906842626,1,8,Tx,WiFi,31,1,0,146,128
224,1125899906842626,1,9,Tx,WiFi,31,2,0,146,128
225,1125899906842626,1,10,Tx,WiFi,3,1,0,146,128
226,1125899906842627,1,1,Rx,WiFi,3,1,0,89,89
227,1125899906842627,1,2,Rx,WiFi,31,2,0,89,89
228,1125899906842627,1,3,Rx,WiFi,31,1,0,89,89
229,1125899906842627,1,4,Rx,WiFi,30,2,0,89,89
230,1125899906842627,1,5,Rx,WiFi,30,1,0,89,89
231,1125899906842627,1,6,Rx,WiFi,29,2,0,89,89
232,1125899906842627,1,7,Rx,Ethernet,29,1,0,69,69
233,1125899906842627,1,8,Rx,WiFi,28,2,0,69,69
234,1125899906842627,1,9,Rx,Ethernet,28,1,0,69,69
235,1125899906842627,1,10,Rx,Ethernet,77,1,0,69,69
236,1125899906842627,1,11,Rx,Ethernet,78,1,0,69,69
237,1125899906842627,1,12,Rx,Ethernet,81,1,0,69,69
238,1688849860263937,1,1,Tx,Ethernet,81,1,0,75,75
239,1688849860263937,1,2,Tx,Ethernet,28,1,0,75,75
240,1688849860263937,1,3,Tx,WiFi,28,2,0,75,75
241,1688849860263937,1,4,Tx,Ethernet,29,1,0,75,75
242,1688849860263937,1,5,Tx,WiFi,29,2,0,93,93
243,1688849860263937,1,6,Tx,WiFi,30,1,0,93,93
244,1688849860263937,1,7,Tx,WiFi,30,2,0,93,93
245,1688849860263937,1,8,Tx,WiFi,31,1,0,93,93
246,1688849860263937,1,9,Tx,WiFi,31,2,0,93,93
247,1688849860263937,1,10,Tx,WiFi,3,1,0,93,93
248,1125899906842628,1,1,Rx,WiFi,3,1,0,177,128
249,1125899906842628,1,2,Rx,WiFi,31,2,0,177,128
250,1125899906842628,1,3,Rx,WiFi,31,1,0,177,128
251,1125899906842628,1,4,Rx,WiFi,30,2,0,177,128
252,1125899906842628,1,5,Rx,WiFi,30,1,0,177,128
253,1125899906842628,1,6,Rx,WiFi,29,2,0,177,128
254,1125899906842628,1,7,Rx,Ethernet,29,1,0,157,128
255,1125899906842628,1,8,Rx,WiFi,28,2,0,157,128
256,1125899906842628,1,9,Rx,Ethernet,28,1,0,157,128
257,1125899906842628,1,10,Rx,Ethernet,77,1,0,157,128
258,1125899906842628,1,11,Rx,Ethernet,78,1,0,157,128
259,1125899906842628,1,12,Rx,Ethernet,81,1,0,157,128
260,1125899906842629,1,1,Rx,WiFi,3,1,0,87,87
261,1125899906842629,1,2,Rx,WiFi,31,2,0,87,87
262,1125899906842629,1,3,Rx,WiFi,31,1,0,87,87
263,1125899906842629,1,4,Rx,WiFi,30,2,0,87,87
264,1125899906842629,1,5,Rx,WiFi,30,1,0,87,87
265,1125899906842629,1,6,Rx,WiFi,29,2,0,87,87
266,1125899906842629,1,7,Rx,Ethernet,29,1,0,67,67
267,1125899906842629,1,8,Rx,WiFi,28,2,0,67,67
268,1125899906842629,1,9,Rx,Ethernet,28,1,0,67,67
269,1125899906842629,1,10,Rx,Ethernet,77,1,0,67,67
270,1125899906842629,1,11,Rx,Ethernet,78,1,0,67,67
271,1125899906842629,1,12,Rx,Ethernet,81,1,0,67,67
272,1688849860263938,1,1,Tx,Ethernet,81,1,0,77,77
273,1688849860263938,1,2,Tx,Ethernet,28,1,0,77,77
274,1688849860263938,1,3,Tx,WiFi,28,2,0,77,77
275,1688849860263938,1,4,Tx,Ethernet,29,1,0,77,77
276,1688849860263938,1,5,Tx,WiFi,29,2,0,95,95
277,1688849860263938,1,6,Tx,WiFi,30,1,0,95,95
278,1688849860263938,1,7,Tx,WiFi,30,2,0,95,95
279,1688849860263938,1,8,Tx,WiFi,31,1,0,95,95
280,1688849860263938,1,9,Tx,WiFi,31,2,0,95,95
281,1688849860263938,1,10,Tx,WiFi,3,1,0,95,95
282,1970324836974593,1,1,Tx,Ethernet,81,1,0,75,75
283,1970324836974593,1,2,Tx,Ethernet,28,1,0,75,75
284,1970324836974593,1,3,Tx,WiFi,28,2,0,75,75
285,1970324836974593,1,4,Tx,Ethernet,29,1,0,75,75
286,1970324836974593,1,5,Tx,WiFi,29,2,0,93,93
287,1970324836974593,1,6,Tx,WiFi,30,1,0,93,93
